tract,Name,Population_Density_in_2010
E05000589,Tower Hamlets,"21,300"
E05000590,Waltham Forest,"16,600"
E05000591,Waltham Forest,"12,882"
E05000592,Waltham Forest,"8,531"
E05000593,Waltham Forest,"2,920"
E05000594,Waltham Forest,"5,876"
E05000595,Waltham Forest,"6,615"
E05000596,Waltham Forest,"17,795"
E05000597,Waltham Forest,"5,474"
E05000598,Waltham Forest,"4,809"
E05000599,Waltham Forest,"5,184"
E05000600,Waltham Forest,"5,020"
E05000601,Waltham Forest,"13,860"
E05000602,Waltham Forest,"5,895"
E05000603,Waltham Forest,"6,499"
E05000604,Waltham Forest,"7,773"
E05000605,Waltham Forest,"10,284"
E05000606,Waltham Forest,"10,674"
E05000607,Waltham Forest,"6,152"
E05000608,Waltham Forest,"15,565"
E05000609,Waltham Forest,"7,983"
E05000610,Wandsworth,"12,590"
E05000611,Wandsworth,"7,880"
E05000612,Wandsworth,"11,719"
E05000613,Wandsworth,"10,056"
E05000614,Wandsworth,"10,707"
E05000615,Wandsworth,"10,939"
E05000616,Wandsworth,"15,963"
E05000617,Wandsworth,"14,344"
E05000618,Wandsworth,"12,067"
E05000619,Wandsworth,"9,395"
E05000620,Wandsworth,"6,567"
E05000621,Wandsworth,"3,609"
E05000622,Wandsworth,"13,615"
E05000623,Wandsworth,"15,041"
E05000624,Wandsworth,"11,694"
E05000625,Wandsworth,"8,859"
E05000626,Wandsworth,"10,524"
E05000627,Wandsworth,"5,384"
E05000628,Wandsworth,"9,911"
E05000629,Wandsworth,"8,321"
E05000630,Westminster,"11,940"
E05000631,Westminster,"22,309"
E05000632,Westminster,"19,115"
E05000633,Westminster,"19,535"
E05000634,Westminster,"28,863"
E05000635,Westminster,"27,560"
E05000636,Westminster,"16,073"
E05000637,Westminster,"2,836"
E05000638,Westminster,"23,795"
E05000639,Westminster,"19,399"
E05000640,Westminster,"18,110"
E05000641,Westminster,"12,044"
E05000642,Westminster,"23,746"
E05000643,Westminster,"6,017"
E05000644,Westminster,"4,200"
E05000645,Westminster,"20,795"
E05000646,Westminster,"17,445"
E05000647,Westminster,"18,200"
E05000648,Westminster,"20,634"
E05000649,Westminster,"6,685"
E12000007,London,"5,648"
