"tract","Name","Population_Density_in_2010"
E05000567,Sutton,6384
E05000568,Sutton,7684
E05000569,Sutton,7330
E05000570,Sutton,6439
E05000571,Sutton,6550
E05000572,Sutton,6641
E05000573,Tower Hamlets,18960
E05000574,Tower Hamlets,17423
E05000575,Tower Hamlets,9946
E05000576,Tower Hamlets,9893
E05000577,Tower Hamlets,10686
E05000578,Tower Hamlets,19471
E05000579,Tower Hamlets,15935
E05000580,Tower Hamlets,17372
E05000581,Tower Hamlets,18284
E05000582,Tower Hamlets,16838
E05000583,Tower Hamlets,12627
E05000584,Tower Hamlets,18963
E05000585,Tower Hamlets,10124
E05000586,Tower Hamlets,16964
E05000587,Tower Hamlets,19038
E05000588,Tower Hamlets,20044
E05000589,Tower Hamlets,21300
E05000590,Waltham Forest,16600
E05000591,Waltham Forest,12882
E05000592,Waltham Forest,8531
E05000593,Waltham Forest,2920
E05000594,Waltham Forest,5876
E05000595,Waltham Forest,6615
E05000596,Waltham Forest,17795
E05000597,Waltham Forest,5474
E05000598,Waltham Forest,4809
E05000599,Waltham Forest,5184
E05000600,Waltham Forest,5020
E05000601,Waltham Forest,13860
E05000602,Waltham Forest,5895
E05000603,Waltham Forest,6499
E05000604,Waltham Forest,7773
E05000605,Waltham Forest,10284
E05000606,Waltham Forest,10674
E05000607,Waltham Forest,6152
E05000608,Waltham Forest,15565
E05000609,Waltham Forest,7983
E05000610,Wandsworth,12590
E05000611,Wandsworth,7880
E05000612,Wandsworth,11719
E05000613,Wandsworth,10056
E05000614,Wandsworth,10707
E05000615,Wandsworth,10939
E05000616,Wandsworth,15963
E05000617,Wandsworth,14344
E05000618,Wandsworth,12067
E05000619,Wandsworth,9395
E05000620,Wandsworth,6567
E05000621,Wandsworth,3609
E05000622,Wandsworth,13615
E05000623,Wandsworth,15041
E05000624,Wandsworth,11694
E05000625,Wandsworth,8859
E05000626,Wandsworth,10524
E05000627,Wandsworth,5384
E05000628,Wandsworth,9911
E05000629,Wandsworth,8321
E05000630,Westminster,11940
E05000631,Westminster,22309
E05000632,Westminster,19115
E05000633,Westminster,19535
E05000634,Westminster,28863
E05000635,Westminster,27560
E05000636,Westminster,16073
E05000637,Westminster,2836
E05000638,Westminster,23795
E05000639,Westminster,19399
E05000640,Westminster,18110
E05000641,Westminster,12044
E05000642,Westminster,23746
E05000643,Westminster,6017
E05000644,Westminster,4200
E05000645,Westminster,20795
E05000646,Westminster,17445
E05000647,Westminster,18200
E05000648,Westminster,20634
E05000649,Westminster,6685
E12000007,London,5648
